#-символ переноса строки, использовать вместо Entera;;;;;;;;;;
Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski;Türkçe
Earth_Quake;Уничтожает рунный валун, создавая землетрясение в большой области вокруг на ~w~8~/~ ходов.##Каждый ход нахождения в зоне землетрясения:##Наносит ~w~/*Blunt_Damage*/ дробящего урона.~/~#Выжигает ~bl~/*Mana_Damage*/%~/~ запаса энергии.#С ~w~/*Daze_Chance*/%~/~ шансом ~w~ошеломляет~/~ на ~w~3~/~ хода.#Каждый ход даёт ~r~-5%~/~ к сопр. оглушению и ~r~-10%~/~ к сопр. отбрасыванию (эффект суммируется и действует до окончания землетрясения).##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе геомантии;Destroys a targeted runic boulder, creating an earthquake over a large area for ~w~8~/~ turns.##Each turn of staying in the earthquake's area of effect:##Deals ~w~/*Blunt_Damage*/ Crushing Damage~/~.#Burns ~bl~/*Mana_Damage*/%.~/~ Max Energy#Has ~w~/*Daze_Chance*/%~/~ chance to ~w~Daze~/~ for ~w~3~/~ turns.#Each turn applies ~r~-5%~/~ Stun Resistance and ~r~-10%~/~ Knockback Resistance (the effect stacks and lasts until the earthquake's end).##~y~Passive bonus:~/~#~lg~+2.5%~/~ Geomantic Power;摧毁一块符文巨石，大范围造成一次地动山摇，持续~w~8~/~个回合。##每在地动山摇的效果范围内停留一个回合：便会受到~w~/*Blunt_Damage*/点钝器伤害~/~。#损耗精力上限~bl~/*Mana_Damage*/%~/~的精力#有~w~/*Daze_Chance*/%~/~的几率~w~击晕3~/~个回合。#地动山摇结束之前，硬直抗性和击退抗性分别~r~-5%~/~和~r~-10%~/~，并且不断叠加。##~y~被动加成：~/~#地术法力~lg~+2.5%~/~;Zerstört einen anvisierten Runenstein, wodurch ein Erdbeben in einem großen Bereich für ~w~8~/~ Runden erzeugt wird.##Jede Runde in der sich im Wirkungsbereich aufgehalten wird:##Verursacht ~w~/*Blunt_Damage*/ Schmetterschaden~/~.#Verbrennt ~bl~/*Mana_Damage*/%.~/~ max. Energie#Hat ~w~/*Daze_Chance*/%~/~ Chance auf ~w~Benommenheit~/~ für ~w~3~/~ Runden.#Jede Runde verursacht ~r~-5%~/~ Betäuben-Resistenz und ~r~-10%~/~ Zurückstoßen-Resistenz (die Wirkung stapelt sich und hält bis zum Ende des Erdbebens an).##~y~Passiver Bonus:~/~#~lg~+2,5%~/~ Geomantische Kraft;;;;;Niszczy wybraną skałę tworząc wokół trzęsienie ziemi na ~w~8~/~ tur.##Każda tura znajdowania się z zasięgu:##Zadaje ~w~/*Blunt_Damage*/ obrażeń Obalających~/~.#Wypala ~bl~/*Mana_Damage*/%.~/~ maksymalnej Energii#Ma ~w~/*Daze_Chance*/%~/~ szansy na ~w~Dezorientację~/~ na ~w~3~/~ tury.#Każda tura nakłada ~r~-5%~/~ odporności na Ogłuszenie oraz ~r~-10%~/~ odporności na Odrzucenie (efekt się potęguje do momentu ustąpienia trzęsienia ziemi).##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Geomancji;
Runic_Explosion;Уничтожает рунный валун, провоцируя взрыв огромной силы.##Наносит всем целям в области ~p~/*Arcane_Damage*/ арканического~/~ и ~w~/*Blunt_Damage*/ дробящего урона~/~. С ~w~/*Knockback_Chance*/%~/~ шансом ~w~отбрасывает~/~ назад и с ~w~/*Stun_Chance*/%~/~ шансом ~w~оглушает~/~.##Восполняет ~bl~5%~/~ запаса энергии за каждого убитого врага.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе геомантии;Destroys a targeted runic boulder, provoking a violent explosion.##Deals ~p~/*Arcane_Damage*/ Arcane Damage~/~ and ~w~/*Blunt_Damage*/ Crushing Damage~/~ to all targets in the area of effect. Has ~w~/*Knockback_Chance*/%~/~ chance to ~w~Knockback~/~ and ~w~/*Stun_Chance*/%~/~ chance to ~w~Stun~/~.##Replenishes ~bl~5%~/~ of Max Energy for each enemy killed.##~y~Passive bonus:~/~#~lg~+2.5%~/~ Geomantic Power;摧毁一块符文巨石，造成一次猛烈爆炸。#对效果范围内的所有目标造成~p~/*Arcane_Damage*/点秘术伤害~/~和~w~/*Blunt_Damage*/点钝器伤害~/~。有~w~/*Knockback_Chance*/%~/~的几率~w~击退~/~，有~w~/*Stun_Chance*/%~/~的几率造成~w~硬直~/~。##每击杀一个敌人，恢复精力上限~bl~5%~/~的精力。##~y~被动加成：~/~#地术法力~lg~+2.5%~/~;Zerstört einen anvisierten Runenstein und löst eine heftige Explosion aus.##Verursacht ~p~/*Arcane_Damage*/ Arkanen Schaden~/~ und ~w~/*Blunt_Damage*/ Schmetterschaden~/~ bei allen Zielen im Wirkungsbereich. Hat ~w~/*Knockback_Chance*/%~/~ Chance auf ~w~Zurückstoßen~/~ und ~w~/*Stun_Chance*/%~/~ Chance auf ~w~Betäubung~/~.##Füllt ~bl~5%~/~ der max. Energie für jeden getöteten Feind wieder auf.##~y~Passiver Bonus:~/~#~lg~+2.5%~/~ Geomantische Kraft;;;;;Niszczy wybraną runiczną skałę powodując silną eksplozję.##Zadaje ~p~/*Arcane_Damage*/ obrażeń od Magii Tajemnej~/~ oraz ~w~/*Blunt_Damage*/ obrażeń Obalających~/~ wszystkim celu w polu rażenia. Daje ~w~/*Knockback_Chance*/%~/~ szansy na ~w~Odrzucenie~/~ i ~w~/*Stun_Chance*/%~/~ szansy na ~w~Ogłuszenie~/~.##Odnawia ~bl~5%~/~ Maksymalnej Energii za każdego zabitego przeciwnika.##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Geomancji;
rune_of_binding;Воздвижение рунного валуна даёт ~lg~-25%~/~ к затратам на способности на следующий ход.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе геомантии#~lg~+3%~/~ к регенерации энергии;Raising a runic boulder grants ~lg~-25%~/~ Abilities Energy Cost for the next turn.##~y~Passive ability:~/~#~lg~+2.5%~/~ Geomantic Power#~lg~+3%~/~ Energy Restoration;升起一块符文巨石令下一回合的能力精力消耗~lg~-25%~/~。##~y~被动加成：~/~#地术法力~lg~+2.5%~/~#精力自动恢复~lg~+3%~/~;Das Errichten eines Runensteins gewährt ~lg~-25%~/~ Energiekosten für Fertigkeiten während der nächsten Runde.##~y~Passive Fertigkeit:~/~#~lg~+2.5%~/~ Geomantische Kraft#~lg~+3%~/~ Energieregeneration;;;;;Wznoszenie runicznej skały zmniejsza o ~lg~-25%~/~ koszt Energii dla używania Zdolności na następną turę.##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Geomancji#~lg~+3%~/~ Odnawiania Energii;
rune_of_weakening;Враги на соседних с валуном клетках получают ~r~-10%~/~ к сопр. физическому урону, ~r~-15%~/~ к сопр. отбрасыванию и ~r~-15%~/~ к сопр. оглушению.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе геомантии#~lg~+5%~/~ к стойкости;Enemies standing next to a runic boulder suffer ~r~-10%~/~ Physical Resistance, ~r~-15%~/~ Knockback Resistance and ~r~-15%~/~ Stun Resistance.##~y~Passive bonus:~/~#~lg~+2.5%~/~ Geomantic Power#~lg~+5%~/~ Fortitude;站在符文巨石旁边的敌人物理抗性~r~-10%~/~，击退抗性~r~-15%~/~，硬直抗性~r~-15%~/~。##~y~被动加成：~/~#地术法力~lg~+2.5%~/~#坚忍~lg~+5%~/~;Gegner, die neben einem Runenstein stehen, erleiden ~r~-10%~/~ Phys. Resistenz, ~r~-15%~/~ Zurückstoßen-Resistenz und ~r~-15%~/~ Betäuben-Resistenz.##~y~Passiver Bonus:~/~#~lg~+2.5%~/~ Geomantische Kraft#~lg~+5%~/~ Robustheit;;;;;Przeciwnicy stojący obok runicznej skały otrzymuja ~r~-10%~/~ odporności na Obrażenia Fizyczne, ~r~-15%~/~ odporności na Odrzucenie i ~r~-15%~/~ odporności na Ogłuszenie.##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Geomancji#~lg~+5%~/~ Zahartowania.;
rune_of_support;Убийство врага восстанавливает всем рунным валунам и каменным шипам ~w~50%~/~ прочности, а также даёт ~lg~-50%~/~ к времени восст. способностей на 2 хода.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе геомантии#~lg~-3%~/~ к шансу неудачи;Killing enemies replenishes ~w~50%~/~ of all your runic boulders' and stone spikes' durability, and grants ~lg~-50%~/~ Cooldown Duration for the ~w~2~/~ turns.##~y~Passive bonus:~/~#~lg~+2.5%~/~ Geomantic Power#~lg~-3%~/~ Fumble Chance;击杀敌人可令你的所有符文巨石和石刺恢复~w~50%~/~的耐久，并且之后~w~2~/~个回合冷却时间~lg~-50%~/~。##~y~被动加成：~/~#地术法力~lg~+2.5%~/~#失手几率~lg~-3%~/~;Das Töten von Gegnern füllt ~w~50%~/~ der Haltbarkeit all deiner Runensteine und Steindornen auf und gewährt ~lg~-50%~/~ Abklingzeit für ~w~2~/~ Runden.##~y~Passiver Bonus:~/~#~lg~+2.5%~/~ Geomantische Kraft#~lg~-3%~/~ Ungeschicktsein-Chance;;;;;Zabijanie przeciwników odnawia ~w~50%~/~ wytrzymałość wszystkich kamiennych kolców i głazów, daje ~lg~-50%~/~ do Czasów Odnowień przez ~w~2~/~ tury.##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Geomancji#~lg~-3%~/~ szansy na Partactwo;
rune_of_engulfment;Восполняет ~bl~4%~/~ запаса энергии за каждого врага, задетого ~lg~Каменными шипами~/~.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе геомантии#~lg~+10%~/~ к сопр. отбрасыванию;Replenishes ~bl~4%~/~ Max Energy for each enemy hit with ~lg~Stone Spikes~/~.##~y~Passive bonus:~/~#~lg~+2.5%~/~ Geomantic Power#~lg~+10%~/~ Knockback Resistance;石刺每击中1个敌人，便恢复精力上限~bl~4%~/~的精力。##~y~被动加成：~/~#地术法力~lg~+2.5%~/~#击退抗性~lg~+10%~/~;Füllt ~bl~4%~/~ max. Energie für jeden mit ~lg~Steindornen~/~ getroffenen Gegner wieder auf.##~y~Passiver Bonus:~/~#~lg~+2.5%~/~ Geomantische Kraft#~lg~+10%~/~ Zurückstoßen-Resistenz;;;;;Odnawia ~bl~4%~/~ Maksymalnej Energii za każdego przeciwnika trafionego ~lg~Kamiennymi Kolcami~/~.##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Geomancji#~lg~+10%~/~ odporności na Odrzucenie;
rune_of_impact;Все враги в зоне ~lg~Землетрясения~/~ получают ~r~+10%~/~ к получаемому урону и ~r~+10%~/~ к шансу неудачи.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе геомантии#~lg~+3%~/~ к шансу крита;All enemies within ~lg~Earthquake~/~ suffer ~r~+10%~/~ Damage Taken and ~r~+10%~/~ Fumble Chance.##~y~Passive bonus:~/~#~lg~+2.5%~/~ Geomantic Power#~lg~+3%~/~ Crit Chance;~lg~地动山摇~/~范围内的所有敌人所受伤害~r~+10%~/~、失手几率~r~+10%~/~。##~y~被动加成：~/~#地术法力~lg~+2.5%~/~#暴击几率~lg~+3%~/~;Alle Feinde innerhalb ~lg~Erdbeben~/~ erleiden ~r~+10%~/~ erlittenen Schaden und ~r~+10%~/~ Ungeschicktsein-Chance.##~y~Passiver Bonus:~/~#~lg~+2.5%~/~ Geomantische Kraft#~lg~+3%~/~ Krit. Chance;;;;;Wszyscy przeciwnicy w zasięgu ~lg~Trzęsienia Ziemi~/~ otrzymują ~r~+10%~/~ Obrażeń i ~r~+10%~/~ szansy na Partactwo.##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Geomancji#~lg~+3%~/~ szansy na obr. Krytyczne;
rune_of_fortifying;Увеличивает запас прочности рунных валунов и каменных шипов на ~lg~50%~/~.#Увеличивает базовую длительность ~lg~Каменной брони~/~ до ~w~5~/~ ходов.#Увеличивает базовый ~w~дробящий урон~/~, наносимый ~lg~Каменными шипами~/~ на ~lg~60%~/~.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе геомантии#~lg~+10%~/~ к сопр. оглушению;Improves max durability of runic boulders and stone spikes by ~lg~50%~/~.#Increases base duration of ~lg~Stone Armor~/~ to ~w~5~/~ turns. Increases ~lg~Stone Spikes~/~' base ~w~Crushing Damage~/~ by ~lg~60%~/~ .##~y~Passive bonus:~/~#~lg~+2.5%~/~ Geomatic Power#~lg~+10%~/~ Stun Resistance;符文巨石和石刺的耐久上限延长~lg~50%~/~。#~lg~石甲~/~基础持续时长延至~w~5~/~个回合。~lg~石刺~/~的基础~w~钝器伤害~/~提升~lg~60%~/~。##~y~被动加成：~/~#地术法力~lg~+2.5%~/~#法力~lg~+5%~/~;Verbessert die maximale Haltbarkeit von Runensteinen und Steindornen um ~lg~50%~/~.#Erhöht die Basisdauer von ~lg~Steinrüstung~/~ auf ~w~5~/~ Runden. Erhöht von ~lg~Steindornen~/~ den Basis-~w~Schmetterschaden~/~ um ~lg~60%~/~ .##~y~Passiver Bonus:~/~#~lg~+2.5%~/~ Geomatische Kraft#~lg~+10%~/~ Betäuben-Resistenz;;;;;Zwiększa maksymalną wytrzymałość głazów i kamiennych kolców o ~lg~50%~/~.#Zwiększa bazowy czas trwania ~lg~Kamiennego Pancerza~/~ o ~w~5~/~ tur. ~lg~Kamienne Kolce~/~ posiadają zwiększone bazowe ~w~Obrażenia Obalające~/~ o ~lg~60%~/~ .##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Geomancji#~lg~+10%~/~ odporności na Ogłuszenie;
rune_of_power;~lg~Рунический взрыв~/~ снижает время восстановления заклинаний ветки на ~lg~20%~/~ за каждого задетого врага.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе геомантии#~lg~+5%~/~ к силе магии;~lg~Runic Explosion~/~ decreases Cooldown Durations for this skill tree by ~lg~20%~/~ for each enemy hit.##~y~Passive bonus:~/~#~lg~+2.5%~/~ Geomantic Power#~lg~+5%~/~ Magic Power;~lg~符文爆炸~/~每击中一个敌人，同系法术冷却时间减少~lg~20%~/~。##~y~被动加成：~/~#地术法力~lg~+2.5%~/~#法力~lg~+5%~/~;~lg~Runische Explosion~/~ verringert die Abklingzeiten für diesen Fertigkeitsbaum um ~lg~20%~/~ für jeden getroffenen Gegner.##~y~Passiver Bonus:~/~#~lg~+2.5%~/~ Geomantische Kraft#~lg~+5%~/~ Magische Kraft;;;;;~lg~Runiczna Eksplozja~/~ zmniejsza Czas Odnowienia dla zdolności tego drzewka o ~lg~20%~/~ za każdego trafionego przeciwnika.##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy GeomancjiPower#~lg~+5%~/~ Mocy Magicznej;
;;;;;;;;;;
;///// SWORDS;;;;;;;;;
;;;;;;;;;;
Cleave;Совершает атаку, поражающую три соседние клетки.#Наносит ~lg~+/*Weapon_Damage*/%~/~ урона с ~lg~+/*Bleeding_Chance*/%~/~ к шансу кровотечения.##Даёт ~lg~+10%~/~ к шансу контрудара на ~w~4~/~ хода за каждого задетого врага.##~y~Пассивный бонус:~/~#~lg~-5%~/~ к времени восст. умений ветки;Realiza um ataque que atinge tr�s quadros adjacentes.#Causa ~lg~+/*Weapon_Damage*/%~/~ de Dano com ~lg~+/*Bleeding_Chance*/%~/~ de Chance de Sangramento.##Fornece ~lg~+10%~/~ de chance de Contra-Ataque por ~w~4~/~ turnos para cada inimigo atingido.##~y~Habilidade Passiva:~/~#~lg~-5%~/~ de Tempo de Recarga para esta �rvore de habilidades.;对三个临近方格发起一次攻击。#本次攻击伤害~lg~+/*Weapon_Damage*/%~/~，出血几率~lg~+/*Bleeding_Chance*/%~/~。##每击中一个敌人，~w~4~/~个回合内的反击几率便~lg~+10%~/~。##~y~被动能力：~/~#同类技能冷却时间~lg~-5%~/~;Führt einen Angriff aus, der drei benachbarte Felder trifft.#Er verursacht ~lg~+/*Weapon_Damage*/%~/~ Schaden mit ~lg~+/*Bleeding_Chance*/%~/~ Bluten-Chance.##Gibt ~lg~+10%~/~ Kontern-Chance für ~w~4~/~ Runden für jeden gegnerischen Treffer.##~y~Passive Fertigkeit:~/~#~lg~-5%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;Wykonuje atak trafiający trzy pobliskie pola.#Zadaje ~lg~+/*Weapon_Damage*/%~/~ Obrażeń mających ~lg~+/*Bleeding_Chance*/%~/~ szansy na Krwawienie.##Daje ~lg~+10%~/~ szansy na Kontrę przez ~w~4~/~ tury za każdego trafionego przeciwnika.##~y~Bonus pasywny:~/~#~lg~-5%~/~ Czasów odnowienia dla zdolności tego drzewka;
Keeping_Distance;~w~Отступает~/~ на клетку назад.#Если на следующий ход прошлую клетку занимает враг, совершает по нему атаку с ~lg~+/*Weapon_Damage*/%~/~ урона и ~lg~+/*Bleeding_Chance*/%~/~ к шансу кровотечения.##~y~Пассивный бонус:~/~#~lg~-5%~/~ к времени восст. умений ветки;~w~Retreats~/~ a tile back.#If the next turn the emptied tile is occupied by an enemy, perform an attack with ~lg~+/*Weapon_Damage*/%~/~ Damage and ~lg~+/*Bleeding_Chance*/%~/~ Bleed Chance.##~y~Passive bonus:~/~#~lg~-5%~/~ Cooldown Duration for this skill tree;~w~后退~/~一个方格。#如果下一回合，人物刚刚退出的方格由敌人占据，进行一次攻击，本次攻击伤害~lg~+/*Weapon_Damage*/%~/~，出血几率~lg~+/*Bleeding_Chance*/%~/~。##~y~被动加成：~/~#同类技能冷却时间~lg~-5%~/~;~w~Rückzug~/~ - ein Feld zurück.#Wenn in der nächsten Runde das geräumte Feld von einem Gegner besetzt ist, führst du einen Angriff mit ~lg~+/*Weapon_Damage*/%~/~ Schaden und ~lg~+/*Bleeding_Chance*/%~/~ Bluten-Chance aus.##~y~Passiver Bonus:~/~#~lg~-5%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;~w~Wycofanie~/~ jedno pole wstecz.#Jeżeli w kolejnej turze wcześniej zajęte pole zajmie przeciwnik, atak zadaje ~lg~+/*Weapon_Damage*/%~/~ Obrażeń z ~lg~+/*Bleeding_Chance*/%~/~ szansą na Krwawienie.##~y~Bonus pasywny:~/~#~lg~-5%~/~ Czasów odnowienia dla zdolności tego drzewka;
Advance;Совершает рывок к врагу и наносит по нему атаку с ~lg~+/*Weapon_Damage*/%~/~ к урону и ~lg~+/*Armor_Piercing*/%~/~ к пробитию брони.##Даёт цели ~r~-33%~/~ к сопр. кровотечению и ~r~+10%~/~ к получаемому урону на ~w~4~/~ хода.##~y~Пассивный бонус:~/~#~lg~-5%~/~ к времени восст. умений ветки;Rushes towards the enemy and strikes with bonus ~lg~+/*Weapon_Damage*/%~/~ Damage and ~lg~+/*Armor_Piercing*/%~/~ Armor Penetration.##The target recieves ~r~-33%~/~ Bleeding Resistance and ~r~+10%~/~ Damage Taken for ~w~4~/~ turns.##~y~Passive ability:~/~#~lg~-5%~/~ Cooldown Duration for this skill tree;冲向敌人，大力攻击，本次攻击伤害~lg~+/*Weapon_Damage*/%~/~，防具穿透~lg~+/*Armor_Piercing*/%~/~。##目标出血抗性~r~-33%~/~，所受伤害~r~+10%~/~，效果持续~w~4~/~个回合。##~y~被动能力：~/~#同类技能冷却时间~lg~-5%~/~;Auf den Gegner zustürmen and angreifen mit ~lg~+/*Weapon_Damage*/%~/~ Bonusschaden und ~lg~+/*Armor_Piercing*/%~/~ Rüstungsdurchdringung.##Das Ziel erleidet ~r~-33%~/~ Bluten-Resistenz und ~r~+10%~/~ erlittenen Schaden für ~w~4~/~ Runden.##~y~Passive Fertigkeit:~/~#~lg~-5%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;Skok na przeciwnika zadając ~lg~+/*Weapon_Damage*/%~/~ Obrażeń z bonusem ~lg~+/*Armor_Piercing*/%~/~ Przebijania Pancerza.##Cel otrzymuje ~r~-33%~/~ odporności na Krawienie oraz ~r~+10%~/~ Obrażeń przez ~w~4~/~ tury.##~y~Bonus pasywny:~/~#~lg~-5%~/~ Czasów odnowienia dla zdolności tego drzewka;
Fencer_Stance;Активирует эффект на ~w~4~/~ хода:##~lg~+10%~/~ к шансу блока#~lg~+7.5%~/~ к шансу контрудара#~lg~-5%~/~ к затратам на умения#~lg~+5%~/~ к шансу уворота##Каждое попадание продлевает длительность эффекта на ~lg~1~/~ ход и увеличивает его степень на ~lr~1~/~ (вплоть до ~w~4-й~/~).##~y~Пассивный бонус:~/~#~lg~-5%~/~ к времени восст. умений ветки;Activates the following effect for ~w~4~/~ turns:##~lg~+10%~/~ Block Chance#~lg~+7.5%~/~ Counter Chance#~lg~-5%~/~ Skills Energy Cost#~lg~+5%~/~ Dodge Chance##Each successful attack prolongs the duration of this effect by ~lg~1~/~ turn and grants ~lr~1~/~ stack of it (up to ~w~4~/~ stacks).##~y~Passive bonus:~/~#~lg~-5%~/~ Cooldown Duration for this skill tree;触发以下效果，持续~w~4~/~个回合：##格挡几率~lg~+10%~/~#反击几率~lg~+7.5%~/~#技能精力消耗~lg~-5%~/~#闪躲几率~lg~+5%~/~##每次攻击成功会令这个效果持续时间延长~lg~1~/~个回合，还会叠加~lr~1~/~层（最多~w~4~/~层）。##~y~被动加成：~/~#同类技能冷却时间~lg~-5%~/~;Aktiviert den folgenden Effekt für ~w~4~/~ Runden:##~lg~+10%~/~ Blocken-Chance#~lg~+7.5%~/~ Kontern-Chance#~lg~-5%~/~ Energiekosten für Fertigkeiten#~lg~+5%~/~ Ausweichen-Chance##Jeder erfolgreiche Angriff verlängert die Dauer dieses Effekts um ~lg~1~/~ Runde und gewährt ~lr~1~/~ Stapel davon (bis zu ~w~4~/~ Stapel).##~y~Passiver Bonus:~/~#~lg~-5%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;Aktywuje następujące efekty na ~w~4~/~ tury:##~lg~+10%~/~ szansy na Blok#~lg~+7.5%~/~ szansy na Kontrę#~lg~-5%~/~ kosztów Energii dla zdolności##Każdy celny atak przedłuża efekty o ~lg~1~/~ turę i gwarantuje ~lr~1~/~ punkt potęgowania (do ~w~4~/~).#~lg~+5%~/~ szansy na Unik##~y~Bonus pasywny:~/~#~lg~-5%~/~ Czasów odnowienia dla zdolności tego drzewka;
care_blade;Мечи изнашиваются на ~w~50%~/~ медленней.#Если прочность меча выше ~w~75%~/~, даёт ~lg~+20%~/~ к урону оружия.##~y~Пассивный бонус:~/~#~lg~-5%~/~ к времени восст. умений ветки#~lg~-3%~/~ к шансу неудачи;Swords' condition deteriorates ~w~50%~/~ slower.#If the equipped sword's durability is ~w~75%~/~ or more, provides ~lg~+20%~/~ Weapon Damage.##~y~Passive bonus:~/~#~lg~-5%~/~ Cooldown Duration for this skill tree#~lg~-3%~/~ Fumble Chance;剑具损坏减缓~w~50%~/~。#如果所配剑具耐久高于等于~w~75%~/~，武器伤害~lg~+20%~/~。##~y~被动加成：~/~#同类技能冷却时间~lg~-5%~/~#失手几率~lg~-3%~/~;Der Zustand von Schwertern verschlechtert sich ~w~50%~/~ langsamer.#Wenn die Haltbarkeit des ausgerüsteten Schwertes ~w~75%~/~ oder mehr beträgt, wird ~lg~+20%~/~ mehr Waffenschaden gewährt.##~y~Passiver Bonus:~/~#~lg~-5%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~-3%~/~ Ungeschicktsein-Chance;;;;;Wytrzymałość miecza spada o ~w~50%~/~ wolniej.#Jeżeli wytrzymałość założonego miecza jest równa ~w~75%~/~ lub wyższa, obrażenia broni są zwiększone o ~lg~+20%~/~.##~y~Bonus pasywny:~/~#~lg~-5%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~-3%~/~ szansy na Partactwo;
gloat;Удары мечами получают ~lg~+5%~/~ к шансу крита и ~lg~+5%~/~ к урону за каждое ~r~кровотечение~/~ на цели.##Убийство врага с открытым ~r~кровотечением~/~ уменьшает время восстановления умений ветки на ~lg~50%~/~.##~y~Пассивный бонус:~/~#~lg~-5%~/~ к времени восст. умений ветки#~lg~+3%~/~ к шансу крита;Sword attacks have ~lg~+5%~/~ Crit Chance and ~lg~+5%~/~ Weapon Damage for each ~r~Bleeding~/~ affecting the target.##Killing a ~r~Bleeding~/~ enemy decreases Cooldown Duration for this skill tree by ~lg~50%~/~.##~y~Passive ability:~/~#~lg~-5%~/~ Cooldown Duration for this skill tree#~lg~+3%~/~ Crit Chance;目标每有一层~r~出血~/~，剑具攻击暴击几率便~lg~+5%~/~，武器伤害便~lg~+5%~/~。##击杀~r~出血~/~的敌人，可令同类技能的冷却时间缩短~lg~50%~/~。##~y~被动能力：~/~#同类技能冷却时间~lg~-5%~/~#暴击几率~lg~+3%~/~;Schwertangriffe haben ~lg~+5%~/~ Krit. Chance und ~lg~+5%~/~ Waffenschaden für jede ~r~Blutung~/~ des Ziels.##Das Töten eines ~r~Blutenden~/~ Gegners verringert die Abklingzeit für diesen Fertigkeitsbaum um ~lg~50%~/~.##~y~Passive Fertigkeit:~/~#~lg~-5%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+3%~/~ Krit. Chance;;;;;Miecze otrzymują ~lg~+5%~/~ szansy na obr. Krytyczne oraz ~lg~+5%~/~ obrażeń broni za każdy punkt potęgowania ~r~Krwawienia~/~, który posiada przeciwnik.##Zabicie ~r~krwawiącego~/~ przeciwnika zmniejsza Czasy Odnowień tego drzewka o ~lg~50%~/~.##~y~Bonus pasywny:~/~#~lg~-5%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+3%~/~ szansy na obr. Krytyczne;
stamina_training;Каждый удар мечом с ~w~25%~/~ шансом восполняет ~bl~5%~/~ запаса энергии.##~y~Пассивный бонус:~/~#~lg~-5%~/~ к времени восст. умений ветки#~lg~+10~/~ к запасу энергии;Sword attacks have ~w~25%~/~ chance to restore ~bl~5%~/~ of your Max Energy.##~y~Passive ability:~/~#~lg~-5%~/~ Cooldown Duration for this skill tree#~lg~+10~/~ Max Energy;剑具攻击有~w~25%~/~的几率恢复你精力上限~bl~5%~/~的精力。##~y~被动能力：~/~#同类技能冷却时间~lg~-5%~/~#精力上限~lg~+10~/~;Schwertangriffe haben eine ~w~25%~/~ Chance, ~bl~5%~/~ deiner max. Energie wiederherzustellen.##~y~Passive Fertigkeit:~/~#~lg~-5%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+10~/~ Max. Energie;;;;;Ataki mieczem mają ~w~25%~/~ szansy na odnowienie ~bl~5%~/~ Maksymalnej Energii.##~y~Bonus pasywny:~/~#~lg~-5%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+10~/~ Maksymalnej Energii;
