«;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
20;~gr~Необходимые условия:~/~ отсутствие враждебных противников в зоне видимости.#Обнаружение персонажа выводит из режима скрытности.;~gr~Pré-requisitos:~/~nenhum inimigo hostil dentro da sua Visão.#Se o personagem for detectado, o modo furtivo termina.;~gr~前提：~/~视野内没有出现敌意的敌人。 #如果你被发现，潜行模式就会终止。;~gr~Voraussetzungen :~/~ keine feindseligen Gegner innerhalb deines Sichtfelds.#Wenn der Charakter entdeckt wird, endet der Schleichen-Modus.;;;;~gr~Wymagania :~/~ brak przeciwników w zasięgu Wzroku.#Jeżeli postać zostanie wykryta, tryb skradania zostanie wyłączony.
21;~gr~Необходимые условия:~/~ отсутствие врагов в зоне видимости.#Получение урона или появление смертельного эффекта прекращают отдых.##Отдых увеличивает скорость накопления голода и жажды.;~gr~Pré-requisitos:~/~ nenhum inimigo dentro da sua Visão.#Receber dano ou receber um debuff mortal cancela esse modo.##O descanso aumenta a fome e a acumulação de sede .;~gr~前提：~/~视野内没有敌人。#一旦受到伤害或者致命减益，这一状态就会终止。##休息期间，饥饿和口渴加剧速度更快。;~gr~Voraussetzungen :~/~ keine Gegner in deinem Sichtfeld.#Schaden oder ein tödlicher Schwächungszauber heben diesen Modus auf.##Ausruhen erhöht den Hunger und die Durstbildung.;;;;~gr~Wymagania :~/~ brak przeciników w zasięgu Wzroku.#Otrzymanie obrażeń lub otrzymanie ciężkiego efektu negatywnego wyłącza ten tryb.## Odpoczywanie zwiększa prędkość z jaką generuje się Głód i Pragnienie.
22;ЗАГРУЗКА;CARREGANDO;正在加载;LADE;;;;WCZYTYWANIE
23;Разблокировано:;Desbloqueado:;解锁：;Aufgeschlossen:;;;;Odblokowane:
24;Разблокировано:#Основные навыки ступень I;Desbloqueado:#Habilidades Básicas nível I;解锁：#I类基础技能;Aufgeschlossen: #Grundfertigkeiten Rang 1;;;;Odblokowane:#Umiejętności Podstawowe Tier I
25;Открыто;Aberto;打开了;Geöffnet;;;;Otwarto
26;Неудача;Falhou;失败;Fehlgeschlagen;;;;Niepowodzenie
27;Обезврежено;Desarmado;拆除了;Entschärft;;;;Rozbrojono
28;Избегание;Evitado;躲开了;Ausgewichen;;;;Ominięto
29;Заперто;Bloqueado;锁上了;Verschlossen;;;;Zamknięte
30;НАЖМИТЕ ESCAPE ДЛЯ ПЕРЕЗАПУСКА;PRESSIONE ESC PARA REINICIAR;按ESC键重新开始;DRÜCKE ESC FÜR NEUSTART;;;;WCIŚNIJ ESCAPE, BY ZRESTARTOWAĆ
31;Промах;Perdido;未击中;Verfehlt;;;;Pudło
32;Уклонение;Esquivado;闪开了;Ausgewichen;;;;Uniknięto
33;Неудача;Atrapalhado;失手了;Ungeschickt gewesen;;;;Spartaczono
34;Блок;Bloqueado;挡住了;Geblockt;;;;Zablokowano
35;Не подозревающий;Inconsciente;没有察觉;Ahnungslos;;;;Niespodziewający się
36;Потревожен;Suspeito;怀疑;Suspekt;;;;Podejrzliwy
37;Враждебен;Hostil;敌意;Feindlich;;;;Wrogi
38;Эффекты;Efeitos;效果;Effekte;;;;Efekty
39;Способности;Habilidades;技能;Fertigkeiten;;;;Umiejętności
40;Сопротивляемости;Resistências;抗性;Resistenzen;;;;Odporności
41;//// Требуется 15 силы;/// Requer 15 de força;/// Requires 15 Strength;/// Benötigt Stärke 15;;;;/// Wymaga 15 siły
42;Ремонт;Reparar;修理;Reparatur;;;;Naprawa
43;Свойства;Propriedades;属性;Eigenschaften;;;;Parametry
44;Контракт выполнен!;Contratos concluídos!;契据约定任务完成！;Auftrag erfüllt!;;;;Kontrakt ukończony!
45;Обмен [недоступен в бете];Troca [não disponível na versão beta];以物易物[测试版本不可用];Tauschen [nicht in der Beta];;;;Wymiana [niedostępne w Becie]
46;Выберите цель;Escolher Destino;选择目标;Ziel wählen;;;;Wybierz cel
47;Смена разрешения экрана доступна в главном меню.;Você pode alterar a resolução da tela no menu principal.;你可以通过主菜单更改画面分辨率。;Du kannst die Bildschirmauflösung im Hauptmenü ändern.;;;;Możesz zmienić rozdzielczość ekranu w opcjach.
48;Вне зоны действия;Fora de alcance;距离太远;Außer Reichweite;;;;Poza zasięgiem
49;Экипированные проклятые предметы нельзя продать.;Eitens amaldiçoados não podem ser vendidos.;诅咒物品装备之后，无法出售。;Ausgerüstete verfluchte Gegenstände können nicht verkauft werden.;;;;Założone przedmioty przeklęte nie mogą być sprzedane.
50;Вы не можете продать предмет из-за тяжелой травмы.;Lesões graves impedem a venda deste item.;你身受重伤，无法出售这件物品。;Eine schwere Verletzung hindert dich daran, diesen Gegenstand zu verkaufen.;;;;Ciężkie rany uniemożliwiają ci sprzedanie tego przedmiotu.
51;Вы не можете снять предмет из-за тяжелой травмы.;Lesões graves impedem você de desequipar este item.;你身受重伤，无法摘下这件物品。;Eine schwere Verletzung hindert dich daran, diesen Gegenstand auszurüsten.;;;;Ciężkie rany uniemożliwiają ci zdjęcie tego przedmiotu.
52;Испортится через;Vai estragar em;;保存期限：;Verdirbt in;;;;Zacznie gnić po
53;день / дня / дней;dia / dias;天;Tag / Tagen;;;;dniach / dniach
54;Недоступно в бете;Não disponível na versão beta;测试版本不可用;In der Beta nicht verfügbar;;;;Niedostępne w becie
55;Недоступно в Прологе;Não disponível no prólogo;序章版本不可用;Im Prolog nicht verfügbar;;;;Niedostępne w wersji Prolog
56;крона / кроны / крон;coroa / coroas;冠;Krone / Kronen;;;;korona / koron
;other_hover_end;other_hover_end;other_hover_end;other_hover_end;;;;other_hover_end
;;;;;;;;
;attitude_name;attitude_name;attitude_name;attitude_name;;;;attitude_name
1;Режим скрытности;Modo Furtivo;潜行模式;Schleichmodus;;;;Tryb Skradania
2;Режим отдыха;Modo de Repouso;休息模式;Ruhemodus;;;;Tryb Odpoczynku
3;Режим атаки;Modo de Ataque;攻击模式;Angriffsmodus;;;;Tryb Ataku
;attitude_name_end;attitude_name_end;attitude_name_end;attitude_name_end;;;;attitude_name_end
;;;;;;;;
;attitude_desc;attitude_desc;attitude_desc;attitude_desc;;;;attitude_desc
1;Используйте, чтобы застать врагов врасплох.;Use este modo para surpreender os inimigos.;这个模式可对敌人发动奇袭。;Nutze diesen Modus, um Gegner zu überraschen.;;;;Użyj tego, by zaskoczyć przeciwników.
2;Используйте для восстановления здоровья и энергии.;Use este modo para recuperar saúde e energia.;这个模式可以恢复生命和精力。;Nutze diesen Modus, um Gesundheit und Energie zu regenierieren.;;;;Użyj tego, by odnowić zdrowie i energię.
3;Используйте, чтобы атаковать окружение. Включается при зажатии CTRL.;Use este modo para atacarao arredor. Pressione CTRL para ativar.;这个模式会攻击身边的物品和生物，按CTRL启用。;Nutze diesen Modus, um deine Umgebung anzugreifen. Drücke STRG, um ihn zu aktivieren.;;;;Użyj tego, by zaatakować swoje otoczenie. Wciśnij CTRL, by aktywować.
;attitude_desc_end;attitude_desc_end;attitude_desc_end;attitude_desc_end;;;;attitude_desc_end
;;;;;;;;
;class_desc;class_desc;class_desc;class_desc;;;;class_desc
RelicSeeker;Веррен - один из самых известных в Альдоре искателей артефактов и реликвий. За годы работы он прослыл надёжным человеком, для которого не существует невыполнимых контрактов. Несмотря на возраст, Веррен сохранил незаурядную физическую силу и бодрость духа - однако последние годы мысли о том, чтобы уйти на покой, посещают его всё чаще.##Перед тем, как принять окончательное решение, он решился на последний, самый крупный контракт - и отправился на поиски таинственных Осколков по заказу алхимика Гвиннела.;Verren é um dos caçadores de artefatos e relíquias mais famosos de Aldor. Ao longo dos anos, ele ganhou a reputação de um empreiteiro confiável, que nunca falhou em sua tarefa. Apesar de sua idade, Verren manteve força e vigor excepcionais, mas os pensamentos de aposentadoria o visitam com mais e mais frequência.##Antes de tomar sua decisão final, ele decidiu fazer o último e mais lucrativo contrato, colocando-o na das misteriosas Stoneshards sob as ordens de Gwynnel, o alquimista.;维伦是奥尔多寻宝探墓远近有名的好手，这么多年下来，他从来没失手过，所以大家都知道，请他做事肯定不会出岔子。别看他已过壮年，体力和精力却依然过人，不过他最近脑子里经常冒出洗手不干的念头。##他想着趁自己还没打定主意，干一票大的，就接了炼金术师葛文涅尔的委托，去找神秘的紫色晶石去了。;Verren ist einer der berühmtesten Artefakt- und Reliktjäger in Aldor. Im Laufe der Jahre erwarb er sich den Ruf eines zuverlässigen Auftragnehmers, der bei seiner Arbeit nie versagt hatte. Trotz seines Alters bewahrte sich Verren eine außergewöhnliche Stärke und Kraft, aber die Gedanken an den Ruhestand besuchen ihn immer öfter.##Vor seiner endgültigen Entscheidung entschied er sich für den letzten, den lukrativsten Auftrag, der ihn, unter dem Befehl des Alchemisten Gwynnel, auf die Jagd nach den geheimnisvollen Steinsplittern schickte.;;;;Varren jest jednym z najbardziej znanych poszukiwaczy artefaktów i reliktów w Aldor. Przez wiele lat zdobył sobie reputację jako ten, kto wypełnia kontrakty sumiennie i nigdy nie zawiódł swoich zleceniodawcó. Mimo swojego zaawansowanego wieku, Varren zachował wielką siłę i wigor, ale wizja emerytury nawiedza go coraz częściej. ##Przed podjęciem decyzji o wycofaniu się, uznał że warto wziąć ostatnie, najcięższe i najbardziej lukratywne zlecenie - poszukiwanie tajemniczych Stoneshardów, pod rozkazami alchemika Gwynnela.
Reaver;Не так давно жители Альдора в ужасе замирали, едва услышав имя Тюра Одноглазого, легендарного предводителя фьялльских разбойников. Отряд Тюра заработал дурную славу своими дерзскими набегами на Северные рубежи - даже вооружённые до зубов дружины феодалов терпели от свирепых дварфов поражение за поражением. Одним из них был Йоргрим - лучший воин отряда, так и не проигравший ни единого поединка.##Однако чем дальше, тем чаще Тюр Одноглазый учинял в захваченных поселениях такие зверства, что даже многим дварфам становилось не по себе. Йоргрим особенно презирал это бессмысленное изуверство: он всегда считал, что жестокость по отношению к слабому и беззащитному недостойна настоящего воина.##Неизвестно, когда и как Тюр перешёл роковую черту, но однажды терпение Йоргрима лопнуло - и длинный список его трофеев пополнился скальпом его бывшего предводителя. Оставшись без лидера, дварфы разбрелись кто куда: часть вернулась во Фьялл, а часть - как Йоргрим - решили уйти на юг и попытать счастья в наёмничестве.;Não faz muito tempo, as pessoas de Aldor tremiam as canelas no momento em que alguém mencionace Tyr, o Caolho, um lendário líder dos bandidos de Fjall. O bando de Tyr era famoso por seus ataques audaciosos na fronteira norte - até as tropas bem armadas dos senhores locais sofreram derrota após derrota por esses anões ferozes. Jorgrim era um deles, o melhor guerreiro do bando, ele não havia perdido uma única batalha em sua vida. No entanto, com o passar do tempo, a brutalidade do Caolho em relação a assentamentos capturados tornou-se muito perturbadora, mesmo para seus próprios subordinados. Jorgrim foi quem mais desprezou a crueldade desnecessária: ele sempre acreditou que a violência contra os fracos e indefesos é indigna de um verdadeiro guerreiro.##O couro cabeludo do líder encontrou seu lugar na longa lista de troféus do anão. Deixada sem orientação, o banado desmoronou: alguns anões retornaram a Fjall, enquanto outros, incluindo Jorgrim, decidiram ir para o sul e tentar a sorte como mercenários.;以前，奥尔多要是有人听到“独眼龙提尔”这个名字，肯定都会吓得直哆嗦。这家伙是个传奇人物，手下管着一帮菲欧土匪。这群矮人经常在北方边境活动，非常猖獗，非常彪悍，就连当地领主训练有素的军队也屡屡败在他们脚下。约戈里姆脱离这个匪帮之前，这些矮人谁都没他能打-----他从来没打过败仗。##匪帮每次攻下一个地方，独眼龙就要大肆烧杀。渐渐地，他自己的手下也看不下去了。约戈里姆还有几个矮人非常反感没有必要的暴虐，他觉得真正的勇士绝对不会残害手无寸铁的弱者。##不知道提尔是什么时候碰到了约戈里姆的底线，反正这个土匪头子的头皮最后成了约戈里姆众多战利品之中的一件。匪帮群龙无首，没过多久就散了，有的矮人回菲欧了，有的像约戈里姆一样，来到了南方，想碰碰运气，当个雇佣兵。;Vor nicht allzu langer Zeit zitterten die Menschen in Aldor in ihren Stiefeln, wenn jemand Tyr den Einäugige erwähnte, ein legendärer Anführer der Fjall-Banditen. Tyr's Bande war berüchtigt für ihre verwegenen Überfälle an der nördlichen Grenze - selbst die gut bewaffneten Truppen der örtlichen Herren erlitten eine Niederlage nach der anderen von diesen wilden Zwergen. Jorgrim war einer von ihnen, der beste Krieger in der Bande, er hatte in seinem Leben noch keine einzige Schlacht verloren.##Mit der Zeit wurde die Brutalität des Einäugigen gegenüber den eroberten Siedlungen selbst für seine eigenen Untergebenen zu erschreckend. Jorgrim war derjenige, der unnötige Grausamkeiten am meisten verachtete: Er war immer der Meinung, dass Gewalt gegen Schwache und Wehrlose eines wahren Kriegers unwürdig ist.##Es ist unbekannt, wann Tyr die Linie überschritt, aber schließlich ging Jorgrims Geduld zu Ende und der Skalp des Banditenanführers fand seinen Platz in der langen Liste der Trophäen des Zwerges. Ohne Führung verließ die Bande das Land und zerfiel: Einige Zwerge kehrten nach Fjall zurück, während andere, darunter Jorgrim, beschlossen, nach Süden zu gehen und ihr Glück als Söldner zu versuchen.;;;;Nie tak dawno ludność Aldoru trzęsłaby portkami gdyby tylko ktoś wspomniał Tyra Jednookiego, legendarnego przywódcę zbójców z Fjall. Drużyna Tyra okryła się niesławą po ich brutalnych najazdach na północne granice - nawet dobrze uzbrojone armie lokalnych lordów ponosiły klęskę za klęską, porażkę za porażką z rąk tych wściekłych krasnoludów.Jorgrim był jednym z nich, najlepszy wojownik w całej drużynie, nie przegrał ani jednej bitwy w swoim życiu.##Mijał czas, mijały lata. Brutalność Jednookiego przeciw podbitym osadom była niepokojąca dla jego własnych ludzi. Jorgrim nie akceptował niepotrzebnego okrucieństwa najbardziej, zawsze uważał inaczej - sądził, że przemoc wobec bezbronnych i słabych jest niegodna prawdziwego wojownika.##Nie wiadomo, kiedy Tyr przekroczył ostatnią granicę, jednak cierpliwość Jorgrima wyczerpała się szybko, a skalp z lidera grupy znalazł się na długiej liście trofeów krasnoluda. Nie mający przewodnika grupa rozpadła się. Część krasnolufów wróciła do Fjall, kiedy inna grupa wraz z Jorgrimem powędrowała na północ, szukając szczęścia jako niewolnicy.
KnightMaiden;Немногие родословные в Альдоре могут похвастаться такой же длинной историей, как дом дер Вирнов. По закону рыцарский титул вместе с уделом могут передаваться только мужчине - поэтому нетрудно представить горе отца Арны, когда после стольких лет бесплодных попыток долгожданный наследник оказался дочерью.##Чтобы спасти род, отец Арны прибегнул к полузабытому обычаю Северных предгорий: Арна была воспитана как мальчик. Всё её детство и юность прошли сначала в бесконечных тренировках, а затем в услужении пажом в одной из знатных семей. Достигнув совершеннолетия, Арна была посвящена в рыцари и в нескольких турнирах заработала славу умелой воительницы.##Увы, Арна так и не смогла научиться совершенно незаменимому для альдорской знати навыку: плетению интриг. Вскоре после смерти отца Арна из-за козней недоброжелателей лишилась и титула, и удела, и наследства - род дер Вирнов перестал существовать. Потрясённая Арна дала клятву искупить это бесчестье великим подвигом и отправилась в бесконечное странствие по землям Альдора.;Poucas casas nobres de Aldor podem se orgulhar de uma história tão impressionante quanto a da Casa de der Vyrne. Por lei, o título de cavaleiro só pode ser passado para um homem, por isso não é difícil imaginar o desgosto do pai de Arna, quando, após anos de tentativas infrutíferas, seu tão esperado herdeiro se tornou uma menina.##Para salvar sua casa, o pai de Arna decidiu invocar um antigo costume dos montes do norte: Arna deveria ser criado quando menino. Toda a sua infância e juventude foram dedicadas a treinamento rigoroso e serviram de página para uma das famílias nobres. Quando ela alcançou a idade adulta, Arna era cavaleira. Ao longo de vários torneios, ela conseguiu ganhar a reputação de guerreira habilidosa. ##Infelizmente Arna nunca teve um dom para a habilidade mais importante de um nobre aldoriano - planejar. Logo após a morte do pai, Arna perdeu o feudo, o título e a herança - a Casa de der Vyrne deixou de existir. Abalada por esses eventos, Arna fez um juramento de se redimir por um ato heróico e embarcou em uma jornada sem fim pelas terras de Aldor.;在奥尔多，没有几个名门贵族的历史像德·维尔恩家族那么精彩。阿娜的父亲盼了多少年，最后盼来了一个女儿。可是依据王法，骑士头衔传男不传女，所以不难他当时的郁闷之情。##为了保住家族，他决定遵循北方山麓地区的古老习俗，将阿娜当成男孩教育。不论在童年，还是少年时期，女孩一直都在接受严格的训练，服侍骑士。阿娜成年之后，获得了骑士的头衔。她参加过多场竞标赛，凭借不俗的成绩，成为了颇有名气的勇士。##然而，阿娜自始至终没有掌握奥尔多贵族最需要的一项技能-----勾心斗角，因此在她父亲过世之后，很快便丢掉了封地、头衔和她继承的所有东西-----德·维尔恩家族就此覆灭。阿娜备受打击，而后立下誓言，决定挽回自己曾经的荣光，于是踏上了一条无休无止的路。;Nur wenige Adelshäuser von Aldor können sich einer so beeindruckenden Geschichte rühmen wie das Haus der Vyrne. Der Titel eines Ritters kann per Gesetz nur an einen Mann weitergegeben werden, daher ist es nicht schwer, sich den Ärger von Arnas Vater vorzustellen, als sich nach Jahren vergeblicher Versuche sein lang ersehnter Erbe als Mädchen herausstellte.##Um sein Haus zu retten, beschloss Arnas Vater, sich auf einen alten Brauch der nördlichen Ausläufer zu berufen: Arna sollte als Junge aufgezogen werden. Ihre gesamte Kindheit und Jugend war einer strengen Ausbildung gewidmet, und sie diente als Page in einer der Adelsfamilien. Als sie das Erwachsenenalter erreichte, wurde Arna zum Ritter geschlagen. Über mehrere Turniere hinweg gelang es ihr, sich den Ruf einer geschickten Kriegerin zu erwerben.##Leider hatte Arna nie ein Händchen für die wichtigste Fähigkeit eines aldorianischen Adligen - Intrigen. Bald nach dem Tod ihres Vaters verlor Arna ihr Lehen, ihren Titel und ihr Erbe - das Haus der Vyrne hörte auf zu existieren. Erschüttert von diesen Ereignissen schwor Arna, sich durch eine Heldentat zu rehabilitieren und begab sich auf eine endlose Reise in die Länder Aldors.;;;;Tylko kilka szlachetnych domów z Aldor może pochwalić się tak imponującą historią jak Dom Vyrne. Prawo pozwala, by tytuł rycerza był przekazywany z pokolenia na pokolenie wyłącznie w linii męskiej, więc nie trudno było sobie wyobrazić zmartwienie ojca Amy, kiedy po latach prób i wyrzeczeń w końcu upragniony potomek okazał się dziewczynką.##By uratować przyszłość domu, ojciec Amy zdecydował się na starożytny obyczaj północnych krain - Ama miała być wychowywana jak chłopiec. Całe jej dziecińśtwo oraz młodość poświęcone było na rygorystyczne treningi i pracę jako giermek dla bogatych rodzin. Kiedy osiągnęła pełnoletność, Ama otrzymała tytuł rycerski. Po wielu turniejach zyskałę sławę jako zdolna wojowniczka.##Niestety, Ama nigdy nie posiadała nawet minimum tego, co cechuje szlachetnie urodzonych w Aldorze - wstydu. Krótko po tym jak zmarł jej ojciec, Ama utraciła majątek, tytuł oraz dziedzictwo - Dom Vyrne przestał istnieć. Wstrząśnięta tymi wydarzeniami, Ama przysięgła sobie, że heroicznymi czynami odzyska powagę w oczach mieszkańców świata niekończącą się podróżą przez ziemie Aldoru.
Woodward;Дирвин всю жизнь верой и правдой служил покойному королю, неустанно патрулируя охотничьи угодья его величества. Стрелял он метко, лесные тропы знал как свои пять пальцев, и мало кто из браконьеров, орков или лесных чудищ переживал встречу с королевским стрелком. За годы службы Дирвин сделал на своём луке множество зарубок, избавив местные леса от бесчисленных опасностей.##Когда король Этберт умер, Королевские стрелки отказались участвовать в братоубийственной войне и подчиняться приказам Совета. В наказание подразделение было расформировано, и Дирвин, прихватив оружие, ушёл обратно в леса.##Всю войну он промышлял ровно тем же, чем и всегда - выполнением контрактов, охотой на опасных монстров и помощью крестьянам. Среди простого народа его знают как верного защитника.;Dirwin passou a maior parte de sua vida em serviço leal ao falecido rei, patrulhando incansavelmente as áreas de caça de sua Majestade. Ele tinha um grande objetivo, conhecia a floresta como a palma da mão e pouquíssimos caçadores, orcs e monstros sobreviveram ao encontro com o guarda real. Ao longo de seus anos de serviço, Dirwin erradicou inúmeros perigos à espreita na floresta, fazendo uma pilha atrás da outra.##Após a morte do rei Etbert, os Royal Rangers desobedeceram às ordens do Conselho e se recusaram a participar da guerra fratricida. Como punição, a unidade foi dissolvida, e Dirwin pegou suas armas e voltou para a floresta.##Durante a guerra, ele continuou a fazer o que sempre fazia: cumprir contratos e recompensas, caçar monstros perigosos e ajudar camponeses. Pessoas comuns o consideram, com razão, seu protetor valente.;德温在皇家干了大半辈子，巡守先王狩猎的林苑，不分昼夜。他箭法很准，对树林也是了如指掌，没有几个盗猎者、奥克和怪物能活着从他眼前逃走。那些年里，德温一箭又一箭，不知道消灭了林苑里多少祸害。##艾斯伯特国王驾崩之后，派系之乱发生，皇苑卫队违抗议会之命，拒绝参与战争。议会解散皇苑卫队，以作惩戒。于是，德温带着他的兵器，回到了树林里。##战乱期间，他的生活并没有改变，依旧是完成他人委托的事情，领取赏金，追杀凶险的怪物，帮助农家。正因如此，老百姓都觉得有他在，他们就不会有危险。;Dirwin verbrachte die meiste Zeit seines Lebens in loyalen Diensten des verstorbenen Königs und patrouillierte unerbittlich in den Jagdgründen seiner Majestät. Er hatte ein großes Ziel, kannte den Wald wie seine Westentasche und nur sehr wenige Wilderer, Orks und Monster überlebten die Begegnung mit dem königlichen Förster. Im Laufe seiner Dienstjahre beseitigte Dirwin unzählige Gefahren, die im Wald lauerten, und machte eine Kerbe nach der anderen an seinem Bogen. ##Nach dem Tod von König Etbert widersetzten sich die Königlichen Waldhüter den Befehlen des Rates und weigerten sich, an dem brudermörderischen Krieg teilzunehmen. Zur Strafe wurde die Einheit aufgelöst, so dass Dirwin seine Waffen nahm und zurück in den Wald ging.##Während des Krieges tat er weiterhin das, was er immer tat: Aufträge und Kopfgelder erfüllen, gefährliche Monster jagen und Bauern helfen. Das gemeine Volk betrachtet ihn zu Recht als ihren unerschütterlichen Beschützer.;;;;Dirwin spędził większość swojego życia w służbie ostatniego króla, stale patrolując najeżdżane ziemie jego Wysokości. Doskonale władał łukiem, a lasy znał jak własną kieszeń oraz niewielu kłusowników, orków lub potworów przetrwało starcie z królewskim łowczym. Przez lata służby, Dirwin wykorzenił z okolic niezliczoną ilość zagrożeń przemierzając lasy, robiąc kolejne i kolejne nacięcie na swoim łuku.##Po śmierci króla Etberta, królewscy łowczy nie zaakceptowali rozkazów Rady i odmówili walki w bratobójczej wojnie. Karą było rozformowanie jednostki, więc Darwin zebrał swoją broń i udał się ponownie w las.##W trakcie wojny robił to, co robił najlepiej - wypełniał kontrakty i zlecenia, polował na groźne potwory oraz pomagał wieśniakom. Prosty lud swoim niepisanym prawem uznał go za dzielnego obrońcę.
RunawaySorceress;В Альдоре издревле считалось, что женщины и магия - сочетание дурное и ничего хорошего не предвещающее. Лекторы Академии это предубеждение полностью разделяли, и потому женщин в ряды будущих магов принимали неохотно - однако чародейский талант Йонны был настолько неоспорим, что для неё было сделано исключение.##После блестяще оконченного обучения Йонна подалась в придворные чародейки к одному из альдорских феодалов. Увы, нрав у её лорда оказался прескверным - но и сама Йонна никому спуску не давала. Когда одним утром прислуга сначала обнаружила обугленное тело своего хозяина, а затем - внезапное исчезновение чародейки, сопоставить эти два события было делом нехитрым.##Если бы не внезапно разразившаяся война, Йонну бы наверняка поймали и отправили на костёр, однако в хаосе Раздора ей удалось затеряться, примкнув к одному из отрядов наёмников.;Desde os tempos antigos, existe uma forte crença em Aldor de que mulheres e magia não andam bem juntas e só podem ser um mau presságio. Diretores da Academia partilhavam plenamente este preconceito, raramente ansiosos para aceitar mulheres para o treinamento mágico. No entanto, o talento de Jonna para a magia era tão grande que eles decidiram abrir uma exceção.##Após completar seu treinamento com cores vivas, Jonna se tornou uma feiticeira da corte para um dos nobres aldorianos. Infelizmente, seu senhor tinha um temperamento bastante desagradável, algo que Jonna não toleraria. Uma manhã, os criados descobriram o corpo de seu mestre queimado até ficar cremado. A fuga repentina da feiticeira não deixou muito espaço para interpretação.##Se não fosse a guerra, Jonna provavelmente teria sido pega e queimada na fogueira, mas no caos do Strife ela conseguiu escapar. a perseguição, juntando-se a um bando de mercenários.;自古以来，奥尔多的人就坚信，魔法碰见女人，一准没有好事。学院的老师也深信不疑，所以很少接收女学生，更不会欢迎女生入院修习魔法。可是，约娜实在天赋异禀，所以他们决定破例将她收入学院。##约娜以优异的成绩毕业之后，便成了奥尔多某位贵族的家内法师。然而，这位大人脾气十分火爆，约娜实在无法忍受。某天早晨，佣人发现大人已被烧成了焦尸，而且这位法师突然失踪，其中联系显而易见。##约娜后来和一群雇佣兵混在了一起，所以逃过了追捕。如果不是战争突然爆发，她早就被挂上刑柱活活烧死了。;Seit alten Zeiten gibt es in Aldor den festen Glauben, dass Frauen und Magie nicht gut zusammenpassen und nur ein schlechtes Zeichen sein können. Die Dozenten der Akademie teilten dieses Vorurteil voll und ganz und waren nur selten bereit, Frauen für die Ausbildung in der Magie zu akzeptieren. Jonnas Talent für die Magie war jedoch so groß, dass sie beschlossen, eine Ausnahme zu machen.##Nach dem Abschluss ihrer Ausbildung mit Bravour wurde Jonna für einen der aldorianischen Adligen zur Hofzaubererin. Leider hatte ihr Fürst ein ziemlich übles Temperament, etwas, das Jonna nicht dulden konnte. Eines Morgens entdeckten die Diener den Körper ihres Herrn, der bis auf die Knochen verbrannt war. Die plötzliche Flucht der Zauberin ließ nicht viel Raum für Interpretationen.##Wenn der Krieg nicht ausgebrochen wäre, wäre Jonna wahrscheinlich gefangen und auf dem Scheiterhaufen verbrannt worden, aber in dem Chaos des Kampfes gelang es ihr, sich der Verfolgung zu entziehen, indem sie sich einer Söldnerbande anschloss.;;;;Od starożytnych czasów w Aldor panuje przekonanie, że kobieta i magia nigdy nie idą w parze i jedyne, co mogą spowodować to chorobę. Lektorzy Akademii w pełni pochwalali to stanowisko, bardzo rzadko akceptując kobiety do magicznych szkoleń oraz nauk. Jednakże, talent magiczny Jonny był tak duży, że postanowili uczynić wyjatek.##Po ukończeniu treningu latających kolorów, Jonna została nadworną czarodziejką jednego z Aldoriańskich dostojników. Niestety, jej pan miał niezwykle podły charakter, z którym Jonna nie mogła wytrzymać. Wkrótce potem słudzy dostojnika znaleźli jego ciało zamienione w chrupiącą spaloną skorupę. Nagłe zniknięcie nadwornej czarodziejki nie wymagało komentarza.##Gdyby nie wybuch wojny, Joanna pewnie byłaby ścigana, złapana i spalona na stosie, ale chaos jaki zapanował sprawił, że uniknęła pościgu i dołączyła do grupy najemników.
;class_desc_end;class_desc_end;class_desc_end;class_desc_end;;;;class_desc_end
;;;;;;;;
;class_name;class_name;class_name;class_name;;;;class_name
placeholder;[недоступно в бете];[não disponível na versão beta];[测试版本不可用];[in der Beta nicht verfügbar];;;;[niedostępny w becie]
RelicSeeker;Искатель;Caçador de Relíquias;寻宝高手;Reliktsucher;;;;Poszukiwacz Reliktów
Reaver;Мародёр;Ladrão;强盗;Plünderer;;;;Rozbójnik
KnightMaiden;Дева-Рыцарь;Dama Cavaleira;女骑士;Jungfernritterin;;;;Dama w Zbroi
Woodward;Лесничий;Ranger;守林人;Waldwächter;;;;Wychowanek Lasu
RunawaySorceress;Беглая Чародейка;Feiticeira Fugitiva;流浪法师;Geflohene Zauberin;;;;Zbiegła Czarodziejka
;class_name_end;class_name_end;class_name_end;class_name_end;;;;class_name_end
;;;;;;;;
;char_name;char_name;char_name;char_name;;;;char_name
Verren;Веррен;Verren;维伦;Verren;;;;Verren
Jorgrim;Йоргрим;Jorgrim;约戈里姆;Jorgrim;;;;Jorgrim
Arna;Арна;Arna;阿娜;Arna;;;;Arna
Dirwin;Дирвин;Dirwin;德温;Dirwin;;;;Dirwin
Jonna;Йонна;Jonna;约娜;Jonna;;;;Jonna
;char_name_end;char_name_end;char_name_end;char_name_end;;;;char_name_end
;;;;;;;;
;race_desc;race_desc;race_desc;race_desc;;;;race_desc
