Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
Vitality;Живучесть влияет на выживаемость и выносливость.##От неё зависят ~gr~запас здоровья~/~, ~gr~регенерация здоровья~/~, ~gr~запас энергии~/~, ~gr~регенерация энергии~/~, ~gr~получаемое лечение~/~ и ~gr~иммунитет~/~.;A vitalidade influencia sua capacidade de sobrevivência e resistência.##Afeta ~gr~Vida Máxima~/~, ~gr~Restauração de Vida~/~, ~gr~Energia Máxima~/~, ~gr~Restauração de Energia~/~, ~gr~Eficiência de Cura~/~ e ~gr~Imunidade~/~.;活力影响你忍耐负面效果和生存的能力。##例如~w~生命上限~/~、~w~生命自动恢复~/~、~w~精力上限~/~、~w~精力自动恢复~/~、~w~治疗效果~/~和~w~免疫~/~。;Vitalität wirkt sich auf dein Überleben und deine Ausdauer aus.##Es beeinflusst ~gr~max. Gesundheit~/~, ~gr~Gesundheitsregeneration~/~, ~gr~max. Energie~/~, ~gr~Energieregeneration~/~, ~gr~Heilungseffizienz~/~ und ~gr~Immunität~/~.;;;;Witalność wpływa na twoje szanse na przeżycie oraz wytrzymałość.##Ma wpływ na ~gr~Maksymalne Zdrowie~/~, ~gr~Odnawianie Zdrowia~/~, ~gr~Maksymalną Energię~/~, ~gr~Odnawianie Energii~/~, ~gr~Skuteczność Leczenia~/~ oraz ~gr~Odporność~/~.
WIL;Воля показывает магический потенциал и позволяет легче переносить тяготы и лишения.##От неё зависят ~gr~сила магии~/~, ~gr~сопротивляемость магии~/~, ~gr~сопротивляемость боли~/~, ~gr~стойкость~/~, ~gr~затраты на способности~/~ и ~gr~время восст. способностей~/~.;A força de vontade influencia as suas capacidades mágicas e torna as dificuldades e a miséria mais toleráveis.##Afeta ~gr~Poder Mágico~/~, ~gr~Resistência Mágica~/~, ~gr~Resistência à Dor~/~, ~gr~fortitude~/~, ~gr~Habilidades de Custos de Energia~/~ e ~gr~Durações de Recarga~/~.;意志影响你的魔法能力，而且能够增强你对逆境和苦痛的耐受能力。##这项属性影响~w~法力~/~、~w~魔法抗性~/~、~w~疼痛抗性~/~、~w~坚忍~/~、~w~能力精力消耗~/~和~w~冷却时长~/~。;Willenskraft wirkt sich auf deine magischen Fähigkeiten aus, und macht Notlagen und Miseren erträglicher.##Es beeinflusst ~gr~Magische Kraft~/~, ~gr~Magieresistenz~/~, ~gr~Schmerzresistenz~/~, ~gr~Robustheit~/~, ~gr~Energiekosten für Fertigkeiten~/~ und ~gr~Abklingzeiten~/~.;;;;Siła Woli gra istotną rolę w twoich zdolnościach magicznych oraz czyni trudy walki bardziej znośnymi.##Ma wpływ na ~gr~Siłę Magii~/~, ~gr~Odporność na Magię~/~, ~gr~Odporność na Ból~/~, ~gr~Protekcję~/~, ~gr~Koszt Energii dla Zdolności~/~ oraz ~gr~Czasy Odnowień~/~.
;;;;;;;;
;// Второстепенные атрибуты;// Atributos Secundários;// Secondary attributes;// Secondary attributes;;;;// Secondary attributes
;;;;;;;;
DMG;Урон, наносимый оружием в левой руке.;O dano que você causa com a arma na sua mão principal.;你用主手武器可以造成这么多伤害。;Der verursachte Schaden mit der Waffe in deiner Haupthand.;;;;Obrażenia zadawane przez twoją broń główną.
OFFDMG;Урон, наносимый оружием в правой руке.;O dano que você causa com a arma em sua mão secundária.;你用副手武器可以造成这么多伤害。;Der verursachte Schaden mit der Waffe in der Nebenhand.;;;;Obrażenia zadawane przez twoją broń poboczną.
Weapon_Damage;Изменяет урон, наносимый атаками.;Altera o dano que você causa com seus ataques.;影响你通过攻击造成的伤害。;Ändert den Schaden den du mit deinen Angriffen verursachst.;;;;Wpływa na ilość obrażeń zadawanych przez twoje ataki.
Magic_Power;Изменяет урон и эффективность большинства заклинаний.;Altera o dano e a eficácia da maioria dos feitiços.;影响多数法术的伤害和效果。;Ändert den Schaden und die Effektivität der Mehrzahl deiner Zaubersprüche.;;;;Wpływa na ilość obrażeń zadawanych przez czary i część zdolności.
Hit_Chance;Шанс попадания атак и некоторых заклинаний.#На точность также влияет шанс уклонения цели. ;A chance de atingir seu alvo com ataques e certos feitiços.#A precisão é influenciada pela Chance de Esquiva do alvo.;你的攻击和某些法术有这么大的几率击中目标。#你的准度还会受到目标躲闪几率影响。;Die Chance, dein Ziel mit Angriffen und bestimmten Zaubernsprüchen zu treffen.##Genaugkeit wird durch die Ausweichen-Chance des Ziels beeinflusst.;;;;Szansa na trafienie celu twoimi atakami i niektórymi czarami.#Celność przelicza się z Szansą na Unik, jaką posiada cel.
CRT;Шанс произвести усиленную атаку или заклинание.;A chance de realizar um ataque com poderes ou um feitiço.;你有这么大的几率发动强力攻击或强力法术。;Die Chance, einen aufgeladenen Angriff oder Zauberspruch auszuführen.;;;;Szansa na wykonanie dużo silniejszego ataku lub czaru.
CRTD;Бонусный урон, наносимый критическими атаками, или бонусная эффективность критических заклинаний.;O dano adicional que você causa com seus ataques críticos.#Melhora a eficácia de seus feitiços críticos. ;暴击会额外造成这么多伤害。#可以加强你强力法术的效果。;Der Bonusschaden, den du mit krit. Treffern anrichtest.#Verbessert die Effektivität deiner kritischen Zaubersprüche.;;;;Bonusowe obrażenia jakie zadają twoje obrażenia krytyczne.#Wpływa na efekt krytyczny, jaki może wystapić używając czarów.
PRR;Вероятность заблокировать атаку ближнего боя, поглотив некоторое количество урона.#Экипированный щит позволяет также блокировать атаки дальнего боя.;A chance de bloquear um ataque corpo a corpo, absorvendo parte do dano no processo.#Se você tiver um escudo equipado, também poderá bloquear ataques à distância.;你有这么大的几率挡住近身攻击，吸收部分伤害。#你如果配有盾牌，还能格挡远程攻击。;Die Chance, einen Nahkampfangriff zu blocken, und dabei den Schaden etwas zu mindern.#Trägst du einen Schild, kannst du auch Fernkampfangriffe blocken.;;;;Szansa na zablokowanie ataków w walce wręcz, absorbując część Obrażeń.#Jeżeli masz założoną tarczę możesz również zablokować ataki dystansowe.
Block_Power;Максимальное количество урона, поглощаемого блокированием.#Блокирование магического и природного урона на 50% менее эффективно.;O dano máximo que você pode absorver ao bloquear.#Bloquear Magia e dano natural é 50% menos eficaz.;你的格挡最多可以吸收这么多伤害。#针对魔法伤害和自然伤害的格挡，效果减弱50%。;Der max. Schaden den du durch das Blocken absorbieren kannst.#Blocken von Magie und Naturschaden ist 50% weniger effektiv.;;;;Maksymalna ilość Obrażeń, jakie możesz zaabsorbować blokując.#Blokowanie Magii oraz obrażeń Natury jest o 50% mniej skuteczne.
CTA;Шанс выполнить ответный удар после получения атаки ближнего боя.;A chance de realizar um contra-ataque após ser atacado em combate corpo a corpo.;你受到近身攻击之后，有这么大的几率自动发起一次反击。;Die Chance, nach einem Nahkampfangriff auf dich, einen Gegenangriff auszuführen.;;;;Szansa na wykonanie Kontry w momencie otrzymania obrażeń w walce wręcz.
EVS;Шанс увернуться от удара, выстрела или некоторых заклинаний, полностью избежав урона.;A chance de evitar um ataque, um tiro ou certos feitiços, anulando completamente o dano.;你有这么大的几率躲开一次攻击或某些法术，完全无视其造成的伤害。;Die Chance, einem Angriff, einem Schuss oder bestimmten Zaubersprüchen, zu entkommen, und dabei keinen Schaden zu erleiden.;;;;Szansa na uniknięcie zadanych obrażeń magicznych, z dystansu oraz wręcz całkowicie pomijając ilość.
FMB;Вероятность нанести лишь половину урона при атаке.#Неудачные заклинания поглощают больше энергии и дольше восстанавливаются.;A chance de causar apenas metade de um dano ao atacar.#Feitiços atrapalhados consomem mais Energia e têm uma Recarga mais longa.;你在攻击时有这么大的几率只会造成50%的伤害。#法术失手会消耗更多精力，冷却时间也更长。;Die Chance, beim Angriff, nur die Hälfte des Schadens zu verursachen.#Misslungene Zaubersprüche kosten mehr Energie und haben eine längere Abklingzeit.;;;;Szansa na zadanie tylko połowy Obrażeń w trakcie ataku.#Spartaczone czary zabierają więcej Energii oraz mają dłuższy Czas Odnowienia.
Savvy;Вероятность успешно обезвредить ловушку или вскрыть запертый замок.;A chance de desarmar uma armadilha com sucesso ou destrancar uma fechadura.;你有这么大的几率拆除陷阱或打开锁具。;Die Chance, erfolgreich ein Schloss zu knacken, oder eine Falle zu entschärfen.;;;;Szansa na bezpieczne rozbrojenie pułapki lub otwarcie zamka wytrychem.
STL;Эффективность режима скрытности.;A eficácia do modo Furtivo.;潜行模式的效果。;Die Effektivität im Schleichmodus.;;;;Skuteczność działania Trybu Skradania.
VSN;Максимальный радиус зоны видимости.;O raio máximo do seu alcance de visão.;你最多可以看到周围这么远的地方。;Der maximale Radius deiner Sichtweite.;;;;Maksymalny zasięg Widoku, z którego możesz zauważyć niebezpieczeństwo.
Bonus_Range;Изменяет дальность атак дальнего боя и некоторых заклинаний.;Muda a distância dos seus ataques à distância e certos feitiços.;影响你远程攻击和某些法术的距离。;Ändert die Distanz deiner Fernkampfangriffe und bestimmter Zaubersprüche.;;;;Wpływa na zasięg, z którego możesz wykonać atak dystansowy lub rzucić czar.
Mainhand_Efficiency;Эффективность рук влияет на атакующие параметры оружия, экипированного в соответствующую руку.#Штрафуется при использовании парного оружия.;A eficiência das mãos influencia os parâmetros ofensivos das armas equipadas nas respectivas mãos. # A eficiência é reduzida quando se usa duas armas;手部效果影响相应手上武器的攻击数值。#如果装备双持武器，效果会相应减弱。;Hand-Effizienz beeinflusst die offensiven Eigenschaften einer Waffe in der jeweiligen Hand.#Die Effizienz ist reduziert, wenn zwei Waffen getragen werden.;;;;Wpływa na skuteczność ofensywną oraz statystyki założonych broni w wybranej ręce.#Skuteczność jest zmniejszona używając np. dwóch sztyletów na raz.
Offhand_Efficiency;Эффективность рук влияет на атакующие параметры оружия, экипированного в соответствующую руку.#Штрафуется при использовании парного оружия.;A eficiência das mãos influencia os parâmetros ofensivos das armas equipadas nas respectivas mãos.#A eficiência é reduzida quando se usa duas armas.;手部效果影响相应手上武器的攻击数值。#如果装备双持武器，效果会相应减弱。;Hand-Effizienz beeinflusst die offensiven Eigenschaften einer Waffe in der jeweiligen Hand.#Die Effizienz ist reduziert, wenn zwei Waffen getragen werden.;;;;Wpływa na skuteczność ofensywną oraz statystyki założonych broni w wybranej ręce.#Skuteczność jest zmniejszona używając np. dwóch sztyletów na raz.
;;;;;;;;
;// Всё ещё второстепенные;// Even more secondary ones;// Even more secondary ones;// Even more secondary ones;;;;// Even more secondary ones
;;;;;;;;
;;;;;;;;
Noise_Produced;Количество шума, издаваемого вашими действиями.;A quantidade de ruído produzido por suas ações.;你的行动会造成这么大的声响。;Die Stärke des Lärms, den deine Aktionen verursachen.;;;;Ilość Hałasu, jaki generuje twoja postać.
Bodypart_Damage;Бонусная травмоопасность ваших ударов.;O dano bônus que você causa nas partes do corpo de seus inimigos.;你会对敌人的肢体额外造成这么多伤害。;Der Bonusschaden, den du an Körperteilen deiner Gegner verursachst.;;;;Bonusowe obrażenia zadawane w części ciała przeciwników.
Armor_Damage;Бонусный урон по броне врагов, наносимый вашими атаками.;The bonus damage you deal to your enemies' armor.;你会对敌人的防具额外造成这么多伤害。;Der Bonusschaden, den du der Rüstung deiner Gegner zufügst.;;;;Bonusowe obrażenia zadawane Pancerzowi przeciwników.
Armor_Piercing;Процент брони, игнорируемый вашими атаками.;A porcentagem de armadura ignorada pelos seus ataques.;你的攻击会无视防具这么多防御。;Der prozentuale Anteil der Rüstung, den deine Angriffe ignorieren.;;;;Procentowa ilość pancerza ignorowana przez twoje ataki.
;;;;;;;;
Bleeding_Chance;Шанс вызвать у цели кровотечение атакой.;A chance de causar um sangramento ao atacar.;你的攻击有这么大的几率造成出血。;Die Chance, bei Angriffen, Blutungen zu verursachen.;;;;Szansa na wywołanie Krwiawienia atakami.
Knockback_Chance;Шанс отбросить цель на одну клетку назад атакой.#Если цель отбрасывается на занятую клетку, она теряет здоровье и оглушается на 1 ход.;A chance de empurrar um alvo um espaço para trás ao atacar.#Se um alvo for jogado em um espaço ocupado, ele perde Vida e fica Atordoado por 1 turno.;你的攻击有这么大的几率令目标后退一个方格。#如果目标后退的方格站有其他生物，这个目标将失去一定生命，并且硬直一个回合。;Die Chance, ein Ziel ein Feld zurück zu stoßen.#Wird ein Ziel auf ein belegtes Feld gestoßen, erleidet es Schaden und ist für 1 Runde betäubt.;;;;Szansa na popchniecie przeciwnika jedno pole dalej za pomocą ataku.#Jeżeli cel jest popchnięty na zajęte pole, dodatkowo traci Zdrowie i jest Ogłuszony na 1 turę.
Daze_Chance;Шанс ошеломить цель на несколько ходов атакой.#Ошеломление не даёт применять способности, а также уменьшает сопротивляемость отбрасыванию и оглушению.;A chance de confundir um alvo por alguns turnos ao atacar.#Confundir impede que alvos usem Habilidades e também reduz Resistências a repulsão e Atordoamento.;你的攻击有这么大的几率令目标眩晕若干回合。#目标眩晕之后，无法运用能力，对击退和击晕的抗性也会相应减弱。;Die Chance, ein Ziel für einige Runden benommen zu machen.#Benommenheit hindert das Ziel am Benutzen von Fertigkeiten, und reduziert die Resistenzen gegen Zurückstoßen und Betäuben.;;;;Szansa na Oszołomienie celu na kilka tur atakując.#Oszołomienie uniemożliwia przeciwnikowi używanie Zdolności oraz obniża Odporności na Odrzucenie i Ogłuszenie.
Stun_Chance;Шанс оглушить цель на один ход атакой.#Оглушённые цели всегда пропускают свой ход.;A chance de atordoar um alvo por um turno.#Alvos atordoados sempre perdem o turno.;你有这么大的几率令一个目标硬直一个回合。#硬直状态下，目标无法采取行动。;Die Chance, ein Ziel für 1 Runde zu betäuben.#Betäubte Ziele überspringen immer eine Runde.;;;;Szansa na Ogłuszenie celu na jedną turę.#Ogłuszeni przeciwnicy zawsze pomijają swoją turę.
;;;;;;;;
Knockback_Resistance;Вероятность не быть отброшенным атакой или способностью врага.;A chance de evitar um empurrão de ataques ou habilidades inimigas.;你有这么大的几率不被敌人的攻击或能力击退。;Die Chance, einem Zurückstoßen durch einen feindlichen Angriff oder einer Fertigkeit, auszuweichen.;;;;Szansa na uniknięcie Odrzucenia przez ataki lub zdolności przeciwnika.
Stun_Resistance;Вероятность не быть оглушённым атакой или способностью врага.;A chance de evitar um atordoamento por ataques ou habilidades inimigas.;你有这么大的几率不被敌人的攻击或能力硬直。;Die Chance, einem Betäuben durch einen feindlichen Angriff oder einer Fertigkeit, auszuweichen.;;;;Szansa na uniknięcie Ogłuszenia przez ataki lub zdolności przeciwnika.
Bleeding_Resistance;Вероятность не получить кровотечение от атаки или способности врага.;A chance de evitar sangramentos causados por ataques ou habilidades inimigas.;你有这么大的几率不会因为敌人的攻击或能力而出血。;Die Chance, einer Blutung durch einen feindlichen Angriff oder einer Fertigkeit, auszuweichen;;;;Szansa na uniknięcie Krwawienia przez ataki lub zdolności przeciwnika.
;;;;;;;;
Spells_Energy_Cost;Коэффициент энергии, требуемой заклинаниями.;A chance de evitar sangramentos causados por ataques ou habilidades inimigas.;法术实际所耗精力与其正常消耗精力的比值。;Der von Zaubersprüchen benötigte Energiekoeffizient.;;;;Współczynnik kosztu Energii wymagany na Czary.
Skills_Energy_Cost;Коэффициент энергии, требуемой способностями.;O coeficiente de energia exigido pelas habilidades.;能力实际所耗精力与其正常消耗精力的比值。;Der von Fertigkeiten benötigte Energiekoeffizient.;;;;Współczynnik kosztu Energii wymagany na Zdolności.
Cooldown_Reduction;Коэффициент времени восстановления всех способностей.;O coeficiente de Duração do Tempo de Recarga para todas as Habilidades.;所有能力实际冷却时长与其正常冷却时长的比值。;Der Koeffizient der Abklingzeit für alle Fertigkeiten.;;;;Współczynnik Czasu Odnawiania zdolności.
;;;;;;;;
;// Резисты урону;// Resistências a danos;// Damage Resistances;// Damage Resistances;;;;// Damage Resistances
;;;;;;;;
Physical_Resistance;Процент уменьшения всего получаемого физического урона: рубящего, колющего, дробящего и разрывающего.;A porcentagem de redução para todos os danos físicos que você recebe: Cortar, Perfurar, Esmagar e Rasgar;你所受到的物理伤害（劈砍、穿刺、钝器和撕裂伤害）都会减少这么多百分比。;Prozentuale Verringerung aller phys. Schäden die du erleidest: Schneidend, Stechend, Schmetternd und Reißend.;;;;Procentowa redukcja dla wszystkich Obrażeń Fizycznych, które możesz otrzymać: Ciętych, Przebijających, Obalających i Rozdzierających.
Nature_Resistance;Процент уменьшения всего получаемого природного урона: огненного, морозного, электрического, ядовитого и разъедающего.;A porcentagem de redução de todos os danos causados pela natureza que você recebe: Fogo, Gelo, Choque, Veneno e Cáustico.;你所受到的自然伤害（灼烧、霜冻、电击、中毒和腐蚀伤害）都会减少这么多百分比。;Prozentuale Verringerung aller Naturschäden die du erleidest: Feuer, Frost, Gift und Säure.;;;;Procentowa redukcja dla wszystkich Obrażeń Natury, które możesz otrzymać: Ognia, Zamrożenia, Porażenia, Trucizn i Kwasów.
Magic_Resistance;Процент уменьшения всего получаемого магического урона: арканического, нечестивого, священного и псионического.;A porcentagem de redução de todos os Dano Mágico que você recebe: Arcano, Profano, Sagrado e Psiônico.;你所受到的魔法伤害（秘术、邪术、神圣和灵术伤害）都会减少这么多百分比。;Prozentuale Verringerung aller Magieschäden die du erleidest: Arkan, Unheilig, Heilig und Psionisch.;;;;Procentowa redukcja dla wszystkich Obrażeń Magii, które możesz otrzymać: Tajemnej, Przeklętej, Świętej i Psychicznej.
;;N/A;N/A;;;;;N/A
Slashing_Resistance;Процент уменьшения всего получаемого рубящего урона.;A porcentagem de redução de todos os danos cortantes que você recebe.;你所受到的劈砍伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten Schnittschadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń Ciętych, które otrzymujesz.
Piercing_Resistance;Процент уменьшения всего получаемого колющего урона.;A porcentagem de redução de todos os danos causados por perfuração que você recebe.;你所受到的穿刺伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten Stichschadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń Przebijających, które otrzymujesz.
Rending_Resistance;Процент уменьшения всего получаемого разрывающего урона.;A percentagem de redução para todos os danos causados por laceração que você toma;你所受到的撕裂伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten Reißschadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń Rozrywających, które otrzymujesz.
Blunt_Resistance;Процент уменьшения всего получаемого дробящего урона.;A percentagem de redução para todos os Danos de Esmagamento que você toma.;你所受到的钝器伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten Schmetterschadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń Obalających, które otrzymujesz.
;;N/A;N/A;N/A;;;;N/A;N/A;Yok
Fire_Resistance;Процент уменьшения всего получаемого огненного урона.;A porcentagem de redução de todos os danos de Fogo que você recebe.;你所受到的灼烧伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten Feuerschadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń od Ognia, które otrzymujesz.
Frost_Resistance;Процент уменьшения всего получаемого морозного урона.;A porcentagem de redução de todos os danos de Gelo que você recebe.;你所受到的霜冻伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten Frostschadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń od Zamrożenia, które otrzymujesz.
Shock_Resistance;Процент уменьшения всего получаемого электрического урона.;A porcentagem de redução de todos os danos de Choque que você recebe.;你所受到的电击伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten Schockschadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń od Porażeń, które otrzymujesz.
Caustic_Resistance;Процент уменьшения всего получаемого разъедающего урона.;A porcentagem de redução de todos os danos Cáusticos que você recebe.;你所受到的腐蚀伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten Säureschadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń od Kwasów, które otrzymujesz.
Poison_Resistance;Процент уменьшения всего получаемого ядовитого урона.;A porcentagem de redução de todos os danos Venenosos que você recebe.;你所受到的中毒伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten Giftschadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń od Trucizn, które otrzymujesz.
;;N/A;N/A;N/A;;;;N/A;N/A;Yok;N/A;Yok
Arcane_Resistance;Процент уменьшения всего получаемого арканического урона.;A porcentagem de redução de todo os danos Arcanos que você recebe.;你所受到的秘术伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten arkanen Schadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń od magii Tajemnej, które otrzymujesz.
Unholy_Resistance;Процент уменьшения всего получаемого нечестивого урона.;A porcentagem de redução de todos os dano Profanos que você recebe.;你所受到的邪术伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten unheiligen Schadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń od magii Przeklętej, które otrzymujesz.
Sacred_Resistance;Процент уменьшения всего получаемого священного урона.;A porcentagem de redução de todos os danos Sagrados que você recebe.;你所受到的神圣伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten heiligen Schadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń od magii Świętej, które otrzymujesz.
Psionic_Resistance;Процент уменьшения всего получаемого псионического урона.;A porcentagem de redução de todos os danos Psiônicos que você recebe.;你所受到的灵术伤害都会减少这么多百分比。;Prozentuale Verringerung des gesamten psionischen Schadens den du erleidest.;;;;Procentowa redukcja wszystkich obrażeń od magii Psychicznej, które otrzymujesz.
;;;;;;;;;;
;// Выживание;// Sobrevivência;// Survival;// Survival;;;;// Survival
;;;;;;;;;;
Pain_Limit;Максимальный предел боли, который может почувствовать ваш персонаж.#Чем ниже здоровье, тем выше порог боли.;O limite máximo de dor que seu personagem pode sofrer.#Quanto menor a saúde, maior o limite de dor.;你最多能够忍受这么多疼痛。#生命越少，疼痛忍耐极限越高。;Das maximale Limit des Schmerzes, den dein Charakter erleiden kann.#Je geringer die Gesundheit, um so höher die Schmerzgrenze.;;;;Maksymalna siła Bólu, jaką twoja postać jest w stanie wytrzymać.#Im niższy poziom Zdrowia tym wyższy limit Bólu.
Pain_Change;Показатель ежеходного изменения боли.;Indica quanto sua dor muda por turno.;表示疼痛每回合变化的幅度。;Zeigt an, wie sich deine Schmerzen pro Runde ändert.;;;;Wyznacza w jaki sposób zmienia się Ból twojej postaci, co turę.
Toxicity_Change;Показатель ежеходного изменения интоксикации.;Indica quanto sua intoxicação muda por turno;表示迷醉每回合变化的幅度。;Zeigt an, wie sich deine Vergiftung pro Runde ändert.;;;;Wyznacza w jaki sposób zmienia się Zatrucie twojej postaci, co turę.
Hunger_Change;Показатель ежеходного изменения голода.;Indica quanto sua fome muda por turno.;表示饥饿每回合变化的幅度。;Zeigt an, wie sich dein Hunger pro Runde ändert.;;;;Wyznacza w jaki sposób zmienia się Głód twojej postaci, co turę.
Thirst_Change;Показатель ежеходного изменения жажды.;Indica quanto sua sede muda por turno.;表示口渴每回合变化的幅度。;Zeigt an, wie sich dein Durst pro Runde ändert.;;;;Wyznacza w jaki sposób zmienia się Pragnienie twojej postaci, co turę.
Sanity_Change;Показатель ежеходного изменения рассудка.;Indica quanto sua Sanidade muda por turno.;表示神智每回合变化的幅度。;Zeigt an, wie sich dein geistiger Zustand pro Runde ändert.;;;;Wyznacza w jaki sposób zmienia się Zdrowie Psychiczne twojej postaci, co turę.
Morale_Change;Показатель ежеходного изменения морали.;Indica quanto seu moral muda por turno.;表示斗志每回合变化的幅度。;Zeigt an, wie sich deine Moral pro Runde ändert.;;;;Wyznacza w jaki sposób zmienia się Morale twojej postaci, co turę.
Pain_Resistance;Изменяет скорость накопления боли.;Altera a taxa de ganho de dor.;影响疼痛加剧的速度。;Ändert das Tempo mit dem Schmerz zunimmt.;;;;Zmienia szybkość z jaką rośnie Ból.
Hunger_Resistance;Изменяет скорость накопления голода.;Altera a taxa de ganho de fome.;影响饥饿加剧的速度。;Ändert das Tempo mit dem Hunger zunimmt.;;;;Zmienia szybkość z jaką rośnie Głod.
Toxicity_Resistance;Изменяет скорость накопления интоксикации.;Altera a taxa de intoxicação.;影响迷醉加重的速度。;Ändert das Tempo mit dem Vergiftung zunimmt.;;;;Zmienia szybkość z jaką rośnie Zatrucie.
;;;;;;;;;;
Hunger;Уровень голода персонажа.#Растёт со временем в зависимости от уровня активности и прочих действий.##На рубежах в ~r~25%~/~, ~r~50%~/~ и ~r~75%~/~ возникает негативный эффект.;O nível de fome do seu personagem.#Aumenta com o tempo, dependendo de suas atividades e ações.##Ao atingir ~r~25%~/~, ~r~50%~/~ e ~r~75%~/~, produz um efeito negativo.;你的饥饿程度。#不断加剧，速度取决于你的活动和行为。##饥饿程度达到~r~25%~/~、~r~50%~/~和~r~75%~/~之后，将会产生负面影响。;Gibt an, wie hungrig dein Charakter ist.#Erhöht sich mit der Zeit, je nach Aktivität und deinen Aktionen.##Wenn der Hunger ~r~25%~/~, ~r~50%~/~ und ~r~75%~/~, erreicht, führt das zu negativen Effekten.;;;;Poziom Głodu twojej postaci.#Zwiększa się z czasem w zależności od aktywności i wykonywanych akcji.##Kiedy osiągnie ~r~25%~/~, ~r~50%~/~ oraz ~r~75%~/~ postać otrzymuje negatywny efekt.
Thirsty;Уровень жажды персонажа.#Растёт со временем в зависимости от уровня активности и прочих действий.##На рубежах в ~r~25%~/~, ~r~50%~/~ и ~r~75%~/~ возникает негативный эффект.;O nível da sede do seu personagem.#Aumenta com o tempo, dependendo de suas atividades e ações.##Ao atingir ~r~25%~/~, ~r~50%~/~ e ~r~75%~/~, produz um efeito negativo.;你的口渴程度。#不断加剧，速度取决于你的活动和行为。##饥饿程度达到~r~25%~/~、~r~50%~/~和~r~75%~/~之后，将会产生负面影响。;Gibt an, wie durstig dein Charakter ist.#Erhöht sich mit der Zeit, je nach Aktivität und deinen Aktionen.##Wenn der Durst ~r~25%~/~, ~r~50%~/~ und ~r~75%~/~, erreicht, führt das zu negativen Effekten.;;;;Poziom Spragnienia twojej postaci.#Zwiększa się z czasem w zależności od aktywności i wykonywanych akcji.##Kiedy osiągnie ~r~25%~/~, ~r~50%~/~ oraz ~r~75%~/~ postać otrzymuje negatywny efekt.
Intoxication;Уровень интоксикации персонажа.#Частый побочный эффект алкоголя, наркотиков, некоторых трав и медикаментов.##На рубежах в ~r~25%~/~, ~r~50%~/~ и ~r~75%~/~ возникает негативный эффект. ;O nível de intoxicação do seu personagem.#É um efeito colateral comum do álcool, drogas, certas ervas e medicamentos.##Ao atingir ~r~25%~/~, ~r~50%~/~ e ~r~75%~/~, produz um efeito negativo.;你的迷醉程度。#不断加剧，速度取决于你的活动和行为。##饥饿程度达到~r~25%~/~、~r~50%~/~和~r~75%~/~之后，将会产生负面影响。;Gibt an, wie vergiftet dein Charakter ist.#Dies ist ein häufiger Nebeneffekt von Alkohol, Drogen, diversen Kräutern und Medikamenten.##Wenn der Wert ~r~25%~/~, ~r~50%~/~ und ~r~75%~/~, erreicht, führt das zu negativen Effekten.;;;;Poziom Zatrucia twojej postaci.#To typowy efekt po zażyciu silnych leków, alkoholu, niektórych ziół oraz narkotyków.##Kiedy osiągnie ~r~25%~/~, ~r~50%~/~ oraz ~r~75%~/~ postać otrzymuje negatywny efekt.
